numero_cluster,WSSSE,[cluster]Regione
2,51.82,[0]ABR-[0]BAS-[0]CAM-[0]EMR-[0]FVG-[0]LAZ-[0]LIG-[0]LOM-[0]MAR-[0]MOL-[0]PAB-[0]PIE-[0]PUG-[0]TOS-[0]UMB-[0]VDA-[0]VEN-[1]CAL-[1]PAT-[1]SAR-[1]SIC
3,24.87,[0]ABR-[0]BAS-[0]CAM-[0]EMR-[0]FVG-[0]LAZ-[0]LOM-[0]MAR-[0]PAB-[0]PIE-[0]PUG-[0]TOS-[0]UMB-[0]VDA-[0]VEN-[1]LIG-[1]MOL-[2]CAL-[2]PAT-[2]SAR-[2]SIC
4,14.00,[0]ABR-[0]BAS-[0]CAM-[0]EMR-[0]FVG-[0]LAZ-[0]LOM-[0]MAR-[0]PAB-[0]PIE-[0]PUG-[0]UMB-[0]VDA-[1]PAT-[1]SIC-[2]LIG-[2]MOL-[3]CAL-[3]SAR-[3]TOS-[3]VEN
5,6.97,[0]ABR-[0]BAS-[0]EMR-[0]FVG-[0]LOM-[0]MAR-[0]PAB-[0]PUG-[0]UMB-[0]VDA-[1]CAL-[1]SAR-[2]PAT-[2]SIC-[3]LIG-[3]MOL-[4]CAM-[4]LAZ-[4]PIE-[4]TOS-[4]VEN
